63.11,KABUPATEN BALANGAN
63.71,KOTA BANJARMASIN
63.72,KOTA BANJARBARU
64.01,KABUPATEN PASER
64.02,KABUPATEN KUTAI KARTANEGARA
64.03,KABUPATEN BERAU
64.07,KABUPATEN KUTAI BARAT
64.08,KABUPATEN KUTAI TIMUR
64.09,KABUPATEN PENAJAM PASER UTARA
64.11,KABUPATEN MAHAKAM ULU
64.71,KOTA BALIKPAPAN
64.72,KOTA SAMARINDA
64.74,KOTA BONTANG
65.01,KABUPATEN BULUNGAN
65.02,KABUPATEN MALINAU
65.03,KABUPATEN NUNUKAN
65.04,KABUPATEN TANA TIDUNG
65.71,KOTA TARAKAN
71.01,KABUPATEN BOLAANG MONGONDOW
71.02,KABUPATEN MINAHASA
71.03,KABUPATEN KEPULAUAN SANGIHE
71.04,KABUPATEN KEPULAUAN TALAUD
71.05,KABUPATEN MINAHASA SELATAN
71.06,KABUPATEN MINAHASA UTARA
71.07,KABUPATEN MINAHASA TENGGARA
71.08,KABUPATEN BOLAANG MONGONDOWUTARA
71.09,KABUPATEN KEP. SIAU TAGULANDANGBIARO
71.10,KABUPATEN BOLAANG MONGONDOWTIMUR
71.11,KABUPATEN BOLAANG MONGONDOWSELATAN
71.71,KOTA MANADO
71.72,KOTA BITUNG
71.73,KOTA TOMOHON
71.74,KOTA KOTAMOBAGU
72.01,KABUPATEN BANGGAI
72.02,KABUPATEN POSO
72.03,KABUPATEN DONGGALA
72.04,KABUPATEN TOLI TOLI
72.05,KABUPATEN BUOL
72.06,KABUPATEN MOROWALI
72.07,KABUPATEN BANGGAI KEPULAUAN
72.08,KABUPATEN PARIGI MOUTONG
72.09,KABUPATEN TOJO UNA UNA
72.10,KABUPATEN SIGI
72.11,KABUPATEN BANGGAI LAUT
72.12,KABUPATEN MOROWALI UTARA
72.71,KOTA PALU
73.01,KABUPATEN KEPULAUAN SELAYAR
73.02,KABUPATEN BULUKUMBA
73.03,KABUPATEN BANTAENG
73.04,KABUPATEN JENEPONTO
73.05,KABUPATEN TAKALAR
73.06,KABUPATEN GOWA
73.07,KABUPATEN SINJAI
73.08,KABUPATEN BONE
73.09,KABUPATEN MAROS
73.10,KABUPATEN PANGKAJENE KEPULAUAN
73.11,KABUPATEN BARRU
73.12,KABUPATEN SOPPENG
73.13,KABUPATEN WAJO
73.14,KABUPATEN SIDENRENG RAPPANG
73.15,KABUPATEN PINRANG
73.16,KABUPATEN ENREKANG
73.17,KABUPATEN LUWU
73.18,KABUPATEN TANA TORAJA
73.22,KABUPATEN LUWU UTARA
73.24,KABUPATEN LUWU TIMUR
73.26,KABUPATEN TORAJA UTARA
73.71,KOTA MAKASSAR
73.72,KOTA PARE PARE
73.73,KOTA PALOPO
74.01,KABUPATEN KOLAKA
74.02,KABUPATEN KONAWE
